Fast_SMA,Slow_SMA,Net_Profit,Return_Pct
2,10,862638.22,862.64
2,20,122280.93,122.28
2,30,-57271.34,-57.27
2,40,-25133.48,-25.13
2,50,-7131.18,-7.13
2,60,-27179.86,-27.18
2,70,239310.19,239.31
2,80,186972.62,186.97
2,90,471036.91,471.04
2,100,599285.23,599.29
2,110,171948.73,171.95
2,120,541790.44,541.79
2,130,1350908.63,1350.91
2,140,232463.03,232.46
2,150,62961.59,62.96
2,160,40419.67,40.42
2,170,257769.32,257.77
2,180,32483.89,32.48
2,190,-95995.34,-96.0
2,200,-82082.97,-82.08
2,210,-95339.2,-95.34
2,220,-65657.72,-65.66
2,230,-6277.69,-6.28
2,240,-78967.42,-78.97
2,250,-71099.18,-71.1
4,10,1535655.09,1535.66
4,20,328790.05,328.79
4,30,17906.49,17.91
4,40,17418.94,17.42
4,50,-38458.83,-38.46
4,60,-32659.55,-32.66
4,70,727419.92,727.42
4,80,81955.37,81.96
4,90,29464.43,29.46
4,100,551479.88,551.48
4,110,108423.72,108.42
4,120,455324.33,455.32
4,130,819900.72,819.9
4,140,271592.58,271.59
4,150,-21021.3,-21.02
4,160,-13047.79,-13.05
4,170,6830.79,6.83
4,180,20388.36,20.39
4,190,76144.42,76.14
4,200,315526.98,315.53
4,210,-10045.28,-10.05
4,220,-80343.7,-80.34
4,230,-80075.26,-80.08
4,240,-89909.32,-89.91
4,250,-67992.24,-67.99
6,10,1303936.87,1303.94
6,20,138717.57,138.72
6,30,18824.81,18.82
6,40,101697.9,101.7
6,50,633385.93,633.39
6,60,456096.89,456.1
6,70,713840.49,713.84
6,80,-41255.61,-41.26
6,90,-43161.76,-43.16
6,100,340453.82,340.45
6,110,125611.06,125.61
6,120,352969.13,352.97
6,130,802651.79,802.65
6,140,464171.62,464.17
6,150,-66141.58,-66.14
6,160,-79661.51,-79.66
6,170,-47534.95,-47.53
6,180,12648.91,12.65
6,190,-42159.62,-42.16
6,200,199887.11,199.89
6,210,581656.7,581.66
6,220,-58158.84,-58.16
6,230,-76681.39,-76.68
6,240,-86362.86,-86.36
6,250,-84937.08,-84.94
8,10,92801.94,92.8
8,20,5487.64,5.49
8,30,38510.37,38.51
8,40,-73823.86,-73.82
8,50,574152.1,574.15
8,60,657770.59,657.77
8,70,1338880.08,1338.88
8,80,225203.2,225.2
8,90,-46443.79,-46.44
8,100,217663.28,217.66
8,110,82172.49,82.17
8,120,285253.03,285.25
8,130,707743.95,707.74
8,140,-51998.39,-52.0
8,150,-77180.92,-77.18
8,160,-85338.31,-85.34
8,170,-73573.63,-73.57
8,180,-47743.84,-47.74
8,190,-44758.22,-44.76
8,200,118053.3,118.05
8,210,546734.3,546.73
8,220,477569.67,477.57
8,230,-50161.36,-50.16
8,240,-56637.46,-56.64
8,250,-82604.73,-82.6
10,20,-82875.29,-82.88
10,30,52700.36,52.7
10,40,59811.6,59.81
10,50,409956.21,409.96
10,60,530012.63,530.01
10,70,1393332.17,1393.33
10,80,293722.67,293.72
10,90,135987.24,135.99
10,100,175816.04,175.82
10,110,142596.87,142.6
10,120,238131.32,238.13
